sample	fetch_over_scan.rDNA45S	fetch_over_scan.rDNA5S	fetch_over_scan.DJ	capture.rDNA45S	capture.rDNA5S	capture.DJ
HG00451	0.9995131900530998	0.9997900824451197	0.9973398813177818	0.999221	0.999799	0.997072
HG00452	0.9997476568132662	0.9999381177177815	0.9977368583479066	0.999636	0.999929	0.997456
HG00453	0.9995189077722886	0.999934295317278	0.9978420371169614	0.999641	0.99991	0.997453
HG00457	0.9997714699244898	0.9998815393120254	0.9979166666666667	0.999645	0.999888	0.997446
HG00458	0.9997842721047852	0.9999083482765492	0.9979022445982797	0.999635	0.999891	0.997524
HG00459	0.9997248727037835	0.9998517340378212	0.9979002624671917	0.999492	0.999804	0.997685
HG00463	0.9997120481870837	0.9998278512872568	0.997816366850369	0.99949	0.999765	0.997658
HG00464	0.9997098449186049	0.9998075588148373	0.9977433582931583	0.999503	0.999673	0.997462
HG00465	0.9997665534420699	0.9999294196530976	0.9981265611990008	0.999638	0.9999	0.997725
HG00472	0.9996910313498799	0.9998984723068287	0.9975313942256091	0.999578	0.999884	0.997383
HG00473	0.9997156574774602	0.9999272318327656	0.997557500508854	0.999592	0.999841	0.997427
HG00474	0.9997499052525668	1.0	0.9977725922783198	0.999666	0.999964	0.997586
HG00475	0.9995032600511736	0.9997351155303801	0.9977298524404086	0.999531	0.999742	0.997507
HG00476	0.9997049689031956	0.9999258270286308	0.9976537794552687	0.999663	0.999894	0.997533
HG00477	0.9996518911015907	0.9998713089807028	0.9979781641730692	0.999573	0.999856	0.997873
HG00478	0.9996261581105245	1.0	0.9974851624585052	0.999605	1.0	0.997226
HG00479	0.9996646591378692	0.9998757190540444	0.9977862112586969	0.999555	0.99984	0.997226
HG00480	0.9996720246103015	0.9999046569769906	0.9981696156192802	0.999684	0.999894	0.997868
HG00500	0.999769993422619	0.9999396009268511	0.9975911185588605	0.999663	0.999939	0.997392
HG00501	0.9997499704965186	0.9999541185484945	0.9981679389312978	0.999649	0.999941	0.997854
HG00502	0.9998056747441942	0.9999290751398232	0.9981090450677591	0.99968	0.999929	0.997865
HG00512	0.9998036721167287	0.9999551283329676	0.9980037823072074	0.999724	0.999957	0.997882
HG00513	0.9996880365100582	1.0	0.9978325936629167	0.999579	0.999972	0.99776
HG00514	0.9995384705160466	0.9998328453769084	0.9981418395788171	0.999291	0.99977	0.997762
HG00524	0.9994420434449562	0.9996641166557602	0.9974313156131336	0.99919	0.999583	0.997281
HG00525	0.9997640656516333	0.9998632377327096	0.9972828926742605	0.999551	0.999829	0.996984
HG00526	0.9997012750837215	0.9998742524307005	0.9981613891726252	0.999531	0.999861	0.998035
HG00530	0.9997484742214988	0.9996816300541229	0.9974900648399917	0.999594	0.999675	0.997379
HG00531	0.9996878400700625	0.999801558240294	0.9972305561966304	0.999331	0.999791	0.996912
HG00532	0.9997293039192755	0.9996675157802126	0.9977980497011638	0.999605	0.999622	0.997435
HG00533	0.9995484981623083	0.9998524537468845	0.9979598082219727	0.999589	0.999825	0.997801
HG00534	0.9997191374887819	0.9999626191514548	0.9979099174417388	0.999593	0.999943	0.997648
HG00535	0.9993836790073846	0.9997857107534739	0.9978887364087405	0.999409	0.999716	0.997653
HG00536	0.9996505737819484	0.9998407595768185	0.9980257689110557	0.999462	0.999815	0.997802
HG00537	0.9997916416518934	1.0	0.9972800502144576	0.999659	0.999974	0.996915
HG00538	0.9997982792540412	0.999947405944297	0.9978296816866473	0.999586	0.999932	0.9977
HG00542	0.9997355315409153	0.9999237272486411	0.9971142945480781	0.99952	0.99989	0.996923
HG00543	0.9997618475240007	0.999928525480666	0.9978185993111366	0.999645	0.999898	0.997499
HG00544	0.9997726912459213	0.999891805141059	0.9979394189161344	0.9996	0.999895	0.997629
HG00551	0.999707408535311	0.999930812207033	0.9978265369488718	0.99963	0.999902	0.997513
HG00552	0.9996586220494841	0.9998618885521858	0.9977116704805492	0.999626	0.999823	0.997863
HG00553	0.9997051027813928	0.9999669599885461	0.9979319615344846	0.999567	0.99991	0.997773
HG00554	0.9997781078218473	0.9998861357954405	0.9976322020520917	0.999456	0.999893	0.997439
HG00555	0.9997211473921112	0.9998702604521424	0.9971936389148736	0.999538	0.999799	0.997273
HG00556	0.9997050183449335	0.99986584834155	0.9981108312342568	0.99963	0.99987	0.998098
HG00557	0.9997343866934911	0.9999070401586514	0.9979311058239372	0.99964	0.999824	0.997617
HG00558	0.9996180644887501	0.9998986012607243	0.9982526467262823	0.999574	0.999903	0.997777
HG00559	0.999773497805086	0.9999044874958213	0.9980632008154944	0.999597	0.999894	0.997797
HG00560	0.9997995577338386	0.9999272017821003	0.9976237214588284	0.999601	0.999902	0.997412
HG00561	0.9998237631648068	0.9999487369141818	0.9980488806736496	0.999685	0.999938	0.997704
HG00565	0.9997827170113849	0.999920286966919	0.9976977814985352	0.999567	0.999896	0.997283
HG00566	0.9996390179900939	0.9999571281582257	0.9978383942357181	0.999695	0.999922	0.99759
HG00567	0.999681371411208	0.9999085756079722	0.9980564648117839	0.999638	0.99991	0.997803
HG00577	0.9997388043770359	0.9999123201192447	0.9975044192575646	0.999511	0.9999	0.997233
HG00578	0.9997945659928986	0.9998924197780261	0.9977931904161411	0.999656	0.999862	0.997613
HG00579	0.999717687021056	0.9999008402139208	0.998125195292157	0.999614	0.999885	0.997759
HG00580	0.9994834177084411	0.9997357593144841	0.997691226661313	0.999407	0.999744	0.997559
HG00581	0.9997899818544321	0.99982599253856	0.9975414216996259	0.999665	0.999836	0.997639
HG00582	0.9995408118074302	0.9999470722111465	0.998263356829094	0.999613	0.999947	0.997989
HG00583	0.9998178651227101	0.9998767267880393	0.9972401103955842	0.999625	0.999877	0.996963
HG00584	0.9996872106388103	0.9998049636744843	0.9974293059125964	0.99954	0.999765	0.997184
