sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG01192	HSat1B	11.043	0.0	10.7918
HG01192	HSat2	29.033	0.0	45.6062
HG01192	HSat3	73.302	0.0	64.6205
HG01192	bSat	10.601	0.0	6.6663
HG01192	aSatHOR	134.397	0.0	136.7475
HG01192	ACRO	2.698	0.0	2.0841
HG01192	SST1	2.755	0.0	0.8192
HG01192	CER	1.919	0.0	0.7911
HG01192	SATR	2.69	0.0	0.2177
HG01252	HSat1A	22.14	0.0	19.3957
HG01252	HSat1B	13.211	0.0	11.6213
HG01252	HSat2	29.198	0.0	36.2735
HG01252	HSat3	79.114	0.0	67.3711
HG01252	bSat	16.038	0.0	11.4765
HG01252	aSatHOR	144.374	0.0	134.5844
HG01252	ACRO	4.154	0.0	3.2575
HG01252	SST1	2.535	0.0	0.5752
HG01252	CER	2.024	0.0	0.8524
HG01252	SATR	2.775	0.0	0.2522
HG01255	HSat1A	18.508	0.0	15.1693
HG01255	HSat1B	10.484	0.0	9.5175
HG01255	HSat2	49.083	0.0	49.614
HG01255	HSat3	79.853	0.0	69.857
HG01255	bSat	15.707	0.0	11.0792
HG01255	aSatHOR	146.449	0.0	141.5333
HG01255	ACRO	3.399	0.0	2.6042
HG01255	SST1	2.603	0.0	0.6974
HG01255	CER	1.806	0.0	0.7406
HG01255	SATR	2.763	0.0	0.2506
HG01258	HSat1A	17.707	0.0	13.9683
HG01258	HSat1B	10.393	0.0	9.0094
HG01258	HSat2	47.015	0.0	51.8251
HG01258	HSat3	70.501	0.0	61.1451
HG01258	bSat	15.981	0.0	11.5624
HG01258	aSatHOR	146.352	0.0	139.5185
HG01258	ACRO	3.603	0.0	2.77
HG01258	SST1	2.622	0.0	0.6693
HG01258	CER	2.191	0.0	0.8641
HG01258	SATR	2.751	0.0	0.2535
HG01261	HSat1A	20.919	0.0	19.1851
HG01261	HSat1B	13.359	0.0	12.091
HG01261	HSat2	52.847	0.0	55.3305
HG01261	HSat3	85.631	0.0	86.0508
HG01261	bSat	16.303	0.0	12.8995
HG01261	aSatHOR	136.69	0.0	145.183
HG01261	ACRO	3.734	0.0	3.2206
HG01261	SST1	2.419	0.0	0.6819
HG01261	CER	1.917	0.0	0.8513
HG01261	SATR	2.708	0.0	0.2675
HG01346	HSat1A	21.504	0.0	16.127
HG01346	HSat1B	2.27	0.0	1.863
HG01346	HSat2	25.414	8.2	51.3968
HG01346	HSat3	70.688	0.032	57.7078
HG01346	bSat	17.169	0.0	12.6115
HG01346	aSatHOR	142.171	0.0	131.3653
HG01346	ACRO	3.544	0.0	2.8211
HG01346	SST1	2.0	0.0	0.7023
HG01346	CER	2.007	0.0	0.8242
HG01346	SATR	2.758	0.0	0.2473
HG01358	HSat1A	19.702	0.0	15.7137
HG01358	HSat1B	11.722	0.0	10.7258
HG01358	HSat2	33.322	0.165	58.9881
HG01358	HSat3	79.796	0.0	68.4782
HG01358	bSat	15.823	0.0	10.8153
HG01358	aSatHOR	140.02	0.0	131.2117
HG01358	ACRO	4.178	0.0	3.2265
HG01358	SST1	2.674	0.0	0.5234
HG01358	CER	1.738	0.0	0.74
HG01358	SATR	2.736	0.0	0.2491
HG01361	HSat1A	18.835	0.0	15.4574
HG01361	HSat1B	1.62	0.0	1.242
HG01361	HSat2	49.039	0.0	50.5418
HG01361	HSat3	58.005	6.781	59.1131
HG01361	bSat	13.423	0.0	9.7685
HG01361	aSatHOR	141.61	0.0	139.2136
HG01361	ACRO	4.415	0.0	3.5124
HG01361	SST1	2.303	0.0	0.4298
HG01361	CER	1.996	0.0	0.8541
HG01361	SATR	2.724	0.0	0.2511
HG01433	HSat1A	17.631	0.0	14.9257
HG01433	HSat1B	17.843	0.0	20.125
HG01433	HSat2	30.289	0.0	59.4386
HG01433	HSat3	92.129	0.0	85.6665
HG01433	bSat	16.169	0.0	12.1513
HG01433	aSatHOR	147.579	0.0	146.4319
HG01433	ACRO	3.948	0.0	3.2728
HG01433	SST1	2.597	0.0	0.6598
HG01433	CER	2.068	0.0	0.8737
HG01433	SATR	2.78	0.0	0.2555
HG01496	HSat1A	20.703	0.0	19.0429
HG01496	HSat1B	1.979	0.0	1.6445
HG01496	HSat2	45.074	0.0	61.9667
HG01496	HSat3	54.883	11.814	60.7601
HG01496	bSat	14.251	0.0	10.583
HG01496	aSatHOR	154.693	0.0	159.9658
HG01496	ACRO	3.348	0.0	2.5663
HG01496	SST1	2.594	0.0	0.69
HG01496	CER	1.82	0.0	0.7488
HG01496	SATR	2.747	0.0	0.2373
HG01530	HSat1A	19.366	0.0	18.0718
HG01530	HSat1B	11.517	0.0	9.4813
HG01530	HSat2	33.839	4.245	52.3779
HG01530	HSat3	71.488	0.057	76.3069
HG01530	bSat	13.178	0.0	9.0645
HG01530	aSatHOR	146.379	0.0	159.0418
HG01530	ACRO	3.841	0.0	3.3946
HG01530	SST1	2.591	0.0	0.7351
HG01530	CER	1.802	0.0	0.7582
HG01530	SATR	2.717	0.0	0.2349
HG01784	HSat1A	24.134	0.0	20.9205
HG01784	HSat1B	2.49	0.0	2.1306
HG01784	HSat2	37.134	0.0	43.5539
HG01784	HSat3	57.833	0.0	53.0361
HG01784	bSat	15.391	0.0	11.4398
HG01784	aSatHOR	141.951	0.0	145.444
HG01784	ACRO	4.03	0.0	3.1273
HG01784	SST1	2.453	0.0	0.7553
HG01784	CER	1.989	0.0	0.8623
HG01784	SATR	2.754	0.0	0.2635
HG01786	HSat1A	24.16	0.0	21.3642
HG01786	HSat1B	2.164	0.0	1.7828
